Date Raw;Date Parsed;SLP Burned;SLP Minted
1576800000000;12/20/2019;300;1321
1576886400000;12/21/2019;8400;10892
1576972800000;12/22/2019;13900;15630
1577059200000;12/23/2019;14100;28534
1577145600000;12/24/2019;16800;21600
1577232000000;12/25/2019;25500;25840
1577318400000;12/26/2019;15700;17893
1577404800000;12/27/2019;17300;29438
1577491200000;12/28/2019;16700;20281
1577577600000;12/29/2019;19900;19368
1577664000000;12/30/2019;24100;34619
1577750400000;12/31/2019;25400;33025
1577836800000;01/01/2020;15000;16184
1577923200000;01/02/2020;24200;69745
1578009600000;01/03/2020;27800;33020
1578096000000;01/04/2020;12000;15487
1578182400000;01/05/2020;29400;26394
1578268800000;01/06/2020;20500;23120
1578355200000;01/07/2020;14900;23434
1578441600000;01/08/2020;26600;16614
1578528000000;01/09/2020;21500;36723
1578614400000;01/10/2020;21800;43401
1578700800000;01/11/2020;31700;23372
1578787200000;01/12/2020;21000;44291
1578873600000;01/13/2020;25700;42146
1578960000000;01/14/2020;38400;43831
1579046400000;01/15/2020;44800;37664
1579132800000;01/16/2020;59000;60227
1579219200000;01/17/2020;31600;48039
1579305600000;01/18/2020;37900;60390
1579392000000;01/19/2020;54000;55375
1579478400000;01/20/2020;60600;65849
1579564800000;01/21/2020;87900;72147
1579651200000;01/22/2020;53700;58531
1579737600000;01/23/2020;26000;63983
1579824000000;01/24/2020;22500;58867
1579910400000;01/25/2020;40500;73509
1579996800000;01/26/2020;147700;107301
1580083200000;01/27/2020;131900;94235
1580169600000;01/28/2020;32100;69487
1580256000000;01/29/2020;22400;82597
1580342400000;01/30/2020;29800;94228
1580428800000;01/31/2020;44400;85064
1580515200000;02/01/2020;41000;96611
1580601600000;02/02/2020;51100;94111
1580688000000;02/03/2020;43500;98643
1580774400000;02/04/2020;23300;53389
1580860800000;02/05/2020;45200;71146
1580947200000;02/06/2020;40500;20647
1581033600000;02/07/2020;37400;28598
1581120000000;02/08/2020;50600;27979
1581206400000;02/09/2020;30700;14543
1581292800000;02/10/2020;27200;28216
1581379200000;02/11/2020;34000;35325
1581465600000;02/12/2020;26800;25950
1581552000000;02/13/2020;45600;20407
1581638400000;02/14/2020;27100;12471
1581724800000;02/15/2020;19500;17289
1581811200000;02/16/2020;36100;18823
1581897600000;02/17/2020;25900;17043
1581984000000;02/18/2020;32200;24327
1582070400000;02/19/2020;28800;25265
1582156800000;02/20/2020;30600;23550
1582243200000;02/21/2020;23500;15098
1582329600000;02/22/2020;19600;23160
1582416000000;02/23/2020;28000;25280
1582502400000;02/24/2020;31800;22278
1582588800000;02/25/2020;33000;30736
1582675200000;02/26/2020;13500;22803
1582761600000;02/27/2020;38400;28272
1582848000000;02/28/2020;15900;20736
1582934400000;02/29/2020;20800;26785
1583020800000;03/01/2020;24500;27467
1583107200000;03/02/2020;29600;27340
1583193600000;03/03/2020;35400;33543
1583280000000;03/04/2020;37000;28117
1583366400000;03/05/2020;31200;20850
1583452800000;03/06/2020;23500;68214
1583539200000;03/07/2020;25500;22923
1583625600000;03/08/2020;32300;24052
1583712000000;03/09/2020;13100;26084
1583798400000;03/10/2020;25100;23283
1583884800000;03/11/2020;33500;28037
1583971200000;03/12/2020;3800;4912
1584057600000;03/13/2020;6600;55095
1584144000000;03/14/2020;26000;38554
1584230400000;03/15/2020;24500;31401
1584316800000;03/16/2020;16300;16871
1584403200000;03/17/2020;33800;28015
1584489600000;03/18/2020;24100;36920
1584576000000;03/19/2020;26100;32355
1584662400000;03/20/2020;16500;29542
1584748800000;03/21/2020;17600;20048
1584835200000;03/22/2020;21300;30959
1584921600000;03/23/2020;36400;27535
1585008000000;03/24/2020;30900;31553
1585094400000;03/25/2020;29200;20734
1585180800000;03/26/2020;16800;25864
1585267200000;03/27/2020;30300;40792
1585353600000;03/28/2020;28700;26189
1585440000000;03/29/2020;25200;29535
1585526400000;03/30/2020;29000;25304
1585612800000;03/31/2020;29700;51487
1585699200000;04/01/2020;18100;25823
1585785600000;04/02/2020;30000;38148
1585872000000;04/03/2020;53600;56128
1585958400000;04/04/2020;24700;25467
1586044800000;04/05/2020;32600;32384
1586131200000;04/06/2020;26800;31633
1586217600000;04/07/2020;21900;42548
1586304000000;04/08/2020;45300;37360
1586390400000;04/09/2020;51600;34092
1586476800000;04/10/2020;33900;52482
1586563200000;04/11/2020;54700;40762
1586649600000;04/12/2020;38500;36814
1586736000000;04/13/2020;48400;33963
1586822400000;04/14/2020;32900;35463
1586908800000;04/15/2020;25100;35059
1586995200000;04/16/2020;34100;52603
1587081600000;04/17/2020;54200;40685
1587168000000;04/18/2020;25100;51750
1587254400000;04/19/2020;22900;25234
1587340800000;04/20/2020;12400;35206
1587427200000;04/21/2020;35700;31813
1587513600000;04/22/2020;29400;95227
1587600000000;04/23/2020;48700;41740
1587686400000;04/24/2020;26700;40390
1587772800000;04/25/2020;30600;25732
1587859200000;04/26/2020;28900;57644
1587945600000;04/27/2020;25000;64233
1588032000000;04/28/2020;26100;38161
1588118400000;04/29/2020;30100;26827
1588204800000;04/30/2020;11000;38315
1588291200000;05/01/2020;24500;32304
1588377600000;05/02/2020;60400;67895
1588464000000;05/03/2020;62100;56567
1588550400000;05/04/2020;51100;57510
1588636800000;05/05/2020;32300;38847
1588723200000;05/06/2020;20900;25951
1588809600000;05/07/2020;8400;15240
1588896000000;05/08/2020;18600;36000
1588982400000;05/09/2020;24400;50309
1589068800000;05/10/2020;19200;14579
1589155200000;05/11/2020;22600;29498
1589241600000;05/12/2020;18200;19726
1589328000000;05/13/2020;10300;21454
1589414400000;05/14/2020;1400;12202
1589500800000;05/15/2020;12700;23289
1589587200000;05/16/2020;25900;89518
1589673600000;05/17/2020;27100;83020
1589760000000;05/18/2020;9800;30578
1589846400000;05/19/2020;11300;82447
1589932800000;05/20/2020;20000;46676
1590019200000;05/21/2020;1300;14422
1590105600000;05/22/2020;8100;36288
1590192000000;05/23/2020;33600;53341
1590278400000;05/24/2020;23300;41773
1590364800000;05/25/2020;11400;13220
1590451200000;05/26/2020;13500;138479
1590537600000;05/27/2020;3600;19021
1590624000000;05/28/2020;11000;25061
1590710400000;05/29/2020;31100;82332
